"original_path";"original_name";"proposed_name";"category";"alt";"caption";"confidence";"visible_elements";"approved";"status"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\amenagement-interieur-placo.jpeg";"amenagement-interieur-placo.jpeg";"ossature-metallique-faux-plafond-en-cours.jpg";"plafond";"Ossature métallique de faux plafond en cours d'installation sous une charpente en bois, avec des câbles visibles.";"La structure métallique du futur faux plafond est installée sous la charpente, tandis que des câbles et des plaques sont présents sur le chantier.";"0.98";"ossature métallique de plafond | charpente en bois apparente | câbles électriques | murs en briques | plaques de plâtre | outils et échafaudages | personnes non identifiées";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\creation-cloison-placo.jpeg";"creation-cloison-placo.jpeg";"cloison-plaques-platre-ossature-en-cours.jpg";"cloison";"Cloisons en plaques de plâtre avec ossature métallique et câbles visibles dans une pièce en chantier.";"Ossature métallique et plaques de plâtre partiellement posées, avec câbles apparents.";"0.98";"ossature métallique | plaques de plâtre partiellement posées | câbles électriques apparents | plafond blanc | sol en cours de chantier";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\doublage-isolation-mur-renovation.jpeg";"doublage-isolation-mur-renovation.jpeg";"pose-isolation-doublage-murs.jpg";"doublage";"Murs en cours de doublage avec isolant visible entre les montants métalliques et plaques de plâtre déjà posées autour des fenêtres.";"Isolation visible entre les montants métalliques, avec doublage en plaques de plâtre partiellement réalisé dans la pièce.";"0.97";"isolant visible entre des montants métalliques | plaques de plâtre posées sur plusieurs murs | quatre fenêtres | réseaux électriques apparents | plafond recouvert de plaques | ouverture au sol | outils et matériaux de chantier";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\faux-plafond-placo-carpentras.jpeg";"faux-plafond-placo-carpentras.jpeg";"ossature-metallique-plafond-en-cours.jpg";"plafond";"Pièce en chantier avec une ossature métallique visible au plafond, des câbles apparents et des fenêtres sur le côté.";"Ossature métallique du plafond en cours d'installation dans une pièce en chantier.";"0.97";"ossature métallique au plafond | câbles électriques apparents | fenêtres et baies vitrées | échelles | sol non fini";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\faux-plafond-plaques-de-platre.jpeg";"faux-plafond-plaques-de-platre.jpeg";"faux-plafond-plaques-platre-en-cours.jpg";"plafond";"Piece en chantier avec un faux plafond en plaques de platre partiellement pose et une ouverture visible dans la structure.";"Faux plafond en plaques de platre en cours d'installation dans une piece aux murs en blocs apparents.";"0.97";"faux plafond en plaques de platre | ouverture dans le plafond | structure metallique apparente | murs en blocs | fenetres | cables pendants | sol de chantier";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20221012_095816_908.jpg";"IMG_20221012_095816_908.jpg";"ossature-metallique-cloison-isolation.jpg";"cloison";"Ossature métallique ouverte avec gaines souples, isolant et bâti-support visibles.";"Cloison ouverte montrant l’ossature métallique, plusieurs gaines souples, l’isolant et un bâti-support encastré.";"0.97";"ossature métallique | gaines souples gainées | isolant en rouleau | bâti-support encastré | cloison ouverte";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20240518_135605_143.jpg";"IMG_20240518_135605_143.jpg";"cloison-plaques-platre-reseaux-plomberie.jpg";"cloison";"Cloison en plaques de plâtre avec raccordements de plomberie apparents dans une pièce en cours de travaux.";"Cloison en plaques de plâtre partiellement traitée, avec sorties de plomberie visibles et joints encore non finalisés.";"0.97";"plaques de plâtre | cloison intérieure | sorties de plomberie | joints et enduits partiellement réalisés | huisserie en bois | sol non revêtu";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20240524_112407_490.jpg";"IMG_20240524_112407_490.jpg";"ossature-metallique-plafond-en-cours-02.jpg";"plafond";"Ossature métallique visible sous une charpente, avec des échelles et un échafaudage dans une pièce en travaux.";"Mise en place d'une ossature métallique pour plafond dans une pièce en cours d'aménagement.";"0.96";"ossature métallique au plafond | charpente en bois | échelles rouges | échafaudage roulant | plaque bleue appuyée contre un mur | murs en blocs apparents";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20260215_172245.jpg";"IMG_20260215_172245.jpg";"isolation-plafond-chantier-renovation.jpg";"isolation";"Piece en renovation avec structure de plafond apparente, rouleaux d'isolant et materiaux de chantier au sol.";"Vue d'une piece en cours de renovation, avec une structure de plafond apparente, des rouleaux d'isolant et des plaques entreposees.";"0.94";"structure de plafond apparente | rouleaux d'isolant | plaques entreposees | murs en blocs | materiaux et outillage de chantier | ouvertures et cables visibles";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20260728_115137.jpg";"IMG_20260728_115137.jpg";"plafond-panneaux-entre-poutres.jpg";"plafond";"Plafond avec panneaux posés entre des poutres en bois dans une pièce en chantier.";"Panneaux installés entre les poutres en bois, avec des profilés métalliques et de l'outillage au sol.";"0.95";"poutres en bois | panneaux au plafond | murs en blocs apparents | profilés métalliques au sol | escabeau | outillage de chantier | porte vitrée";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20260728_115210.jpg";"IMG_20260728_115210.jpg";"plafond-entre-poutres-en-cours.jpg";"plafond";"Pièce en chantier avec des panneaux posés entre des poutres en bois et des profilés métalliques au sol.";"Le plafond entre poutres est en cours d'aménagement, avec des matériaux et des outils de chantier visibles au sol.";"0.96";"poutres en bois apparentes | panneaux entre les poutres | mur en blocs | profilés métalliques au sol | outils de chantier | fenêtre ouverte";"OUI";"PROPOSITION"
"C:\Users\groum\OneDrive\Bureau\grouma-platrerie-site\public\images\realisations\IMG_20260728_140144.jpg";"IMG_20260728_140144.jpg";"ossature-metallique-doublage-mur-en-cours.jpg";"doublage";"Rails métalliques fixés sur un mur en parpaings pour préparer un doublage intérieur.";"Mise en place de rails métalliques sur un mur en parpaings, avec une ouverture et une échelle visibles dans la pièce.";"0.96";"mur en parpaings | rails métalliques horizontaux | fixations jaunes | poutres en bois au plafond | ouverture vitrée | échelle";"OUI";"PROPOSITION"
